,Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM, Storage,GPU,Operating System,Operating System Version,Weight,Price (Euros),Price (USD),sizeperWeight,priceperharddrive,priceperram,LogPrice (USD)
11,Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1024,Intel HD Graphics 520,Windows,10,0.401496259351621,418.64,452.1312,6.782608695652175,0.441534375,113.0328,6.116181708273952
12,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128,Intel HD Graphics 6000,Mac OS,X,0.16458852867830426,1099.0,1186.92,9.851851851851851,9.2728125,148.365,7.0799591575878065
13,Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256,AMD Radeon 530,Windows,10,0.37655860349127185,800.0,864.0,7.09090909090909,3.375,108.0,6.762729506931879
14,Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,512,Intel UHD Graphics 620,Windows,10,0.2967581047381546,1298.0,1401.84,8.297872340425533,2.73796875,175.23,7.246254032259267
15,HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1024,Nvidia GeForce 930MX,Windows,10,0.45137157107231923,896.0,967.68,6.92,0.945,120.96,6.875934319992301
16,Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64,Intel HD Graphics,Windows,10,0.29925187032418954,244.99,264.5892,8.253968253968255,4.13420625,66.1473,5.581950754124929
17,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32,AMD Radeon R2,Windows,10,0.23940149625935164,199.0,214.92,8.484848484848484,6.71625,107.46,5.374907968709749
18,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500,AMD Radeon 530,Windows,10,0.5037406483790523,439.0,474.12,6.3837638376383765,0.94824,118.53,6.163567403707605
19,Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512,Intel UHD Graphics 620,Windows,10,0.12718204488778057,1869.0,2018.52,11.083333333333334,3.942421875,126.1575,7.6106151383958744
20,Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256,Intel HD Graphics 6000,Mac OS,X,0.16458852867830426,998.0,1077.84,9.851851851851851,4.2103125,134.73,6.98364166881327
21,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64,Intel HD Graphics 500,Windows,10,0.18703241895261846,249.0,268.92,9.722222222222223,4.201875,67.23,5.598125618797658
